Herschkorn S|01:960:211:01|3.85|3.51|3.33|3.82|4.00|3.14|3.23|2.86|3.20|3.20
Britz D|01:960:211:04|3.85|3.51|3.33|3.82|4.00|3.14|3.23|2.86|3.20|3.20
Wang Q|01:960:211:05|3.85|3.51|3.33|3.82|4.00|3.14|3.23|2.86|3.20|3.20
Srinivasan S|01:960:212:01|3.48|3.68|3.10|3.49|3.73|3.20|3.50|3.44|3.32|3.30
Lawrence S|01:960:285:01|4.39|4.22|3.85|4.21|4.15|3.64|3.73|3.19|3.85|3.90
Lawrence S|01:960:285:02|4.39|4.22|3.85|4.21|4.15|3.64|3.73|3.19|3.85|3.90
Moondra S|01:960:285:03|4.39|4.22|3.85|4.21|4.15|3.64|3.73|3.19|3.85|3.90
Sklar M|01:960:285:04|4.39|4.22|3.85|4.21|4.15|3.64|3.73|3.19|3.85|3.90
Moondra S|01:960:285:06|4.39|4.22|3.85|4.21|4.15|3.64|3.73|3.19|3.85|3.90
DONG HK|01:960:285:08|4.39|4.22|3.85|4.21|4.15|3.64|3.73|3.19|3.85|3.90
Moondra S|01:960:379:01|4.43|3.97|3.66|4.16|3.95|3.72|3.70|3.47|3.83|3.67
ROJAS P|01:960:379:02|4.43|3.97|3.66|4.16|3.95|3.72|3.70|3.47|3.83|3.67
Tan Z|01:960:382:01|4.18|3.71|3.24|3.71|3.82|3.29|3.82|4.06|3.35|3.41
Andriano K|01:960:384:01|4.80|4.40|4.53|4.73|4.88|4.40|4.27|4.13|4.27|4.38
Wei Li|01:960:390:01|4.15|3.82|3.00|4.03|4.22|3.18|3.42|2.97|3.39|3.52
Wei Li|01:960:390:02|4.15|3.82|3.00|4.03|4.22|3.18|3.42|2.97|3.39|3.52
Srinivasan S|01:960:401:01|4.14|4.00|3.92|4.13|4.15|3.86|3.83|3.15|3.89|3.87
Popel G|01:960:401:02|4.14|4.00|3.92|4.13|4.15|3.86|3.83|3.15|3.89|3.87
Gursoy K|01:960:401:03|4.14|4.00|3.92|4.13|4.15|3.86|3.83|3.15|3.89|3.87
Miniere M|01:960:401:04|4.14|4.00|3.92|4.13|4.15|3.86|3.83|3.15|3.89|3.87
Popel G|01:960:401:05|4.14|4.00|3.92|4.13|4.15|3.86|3.83|3.15|3.89|3.87
Sklar M|01:960:401:06|4.14|4.00|3.92|4.13|4.15|3.86|3.83|3.15|3.89|3.87
Singh K|01:960:476:01|4.09|4.36|4.18|4.36|4.39|4.09|3.97|4.09|4.15|4.15
Gursoy K|01:960:483:01|4.51|4.38|4.27|4.59|4.36|4.43|4.27|3.84|4.43|4.38
Andriano K|01:960:484:01|3.67|3.67|4.00|4.00|3.67|4.00|3.33|3.33|4.00|4.00
Mardekian Jack|01:960:490:01|4.23|4.09|3.51|4.11|4.17|3.31|3.54|3.57|3.71|3.63
