DAVIDSON H|01:350:219:02|4.56|4.32|4.31|4.48|4.23|4.18|4.10|3.69|4.10|4.06|4.28|3.25|3.90|3.80|4.11|4.50
Hurst Louetta|01:350:219:05|4.56|4.32|4.31|4.48|4.23|4.18|4.10|3.69|4.10|4.06|4.28|3.25|3.90|3.80|4.11|4.50
Hurst Louetta|01:350:219:06|4.56|4.32|4.31|4.48|4.23|4.18|4.10|3.69|4.10|4.06|4.28|3.25|3.90|3.80|4.11|4.50
Ellerman Greg|01:350:219:09|4.56|4.32|4.31|4.48|4.23|4.18|4.10|3.69|4.10|4.06|4.28|3.25|3.90|3.80|4.11|4.50
Ellerman Greg|01:350:219:10|4.56|4.32|4.31|4.48|4.23|4.18|4.10|3.69|4.10|4.06|4.28|3.25|3.90|3.80|4.11|4.50
MCGILL M|01:350:219:12|4.56|4.32|4.31|4.48|4.23|4.18|4.10|3.69|4.10|4.06|4.28|3.25|3.90|3.80|4.11|4.50
DOWLING W|01:350:219:18|4.56|4.32|4.31|4.48|4.23|4.18|4.10|3.69|4.10|4.06|4.28|3.25|3.90|3.80|4.11|4.50
GLISERMAN M|01:350:220:02|4.59|4.58|4.43|4.66|4.55|4.32|4.22|4.30|4.36|4.34|4.45|3.59|4.31|4.25|4.18|4.42
GLISERMAN M|01:350:220:08|4.59|4.58|4.43|4.66|4.55|4.32|4.22|4.30|4.36|4.34|4.45|3.59|4.31|4.25|4.18|4.42
VESTERMAN W|01:350:220:21|4.59|4.58|4.43|4.66|4.55|4.32|4.22|4.30|4.36|4.34|4.45|3.59|4.31|4.25|4.18|4.42
MAITRA E|01:350:221:01|4.38|3.92|3.79|4.21|4.25|3.54|3.83|4.22|3.71|3.71|4.28|3.33|3.87|4.25|3.78|3.83
IANNINI C|01:350:227:01|4.86|4.75|4.82|4.86|4.80|4.72|4.69|4.17|4.66|4.56|4.40|3.38|4.55|4.07|4.23|4.57
GALPERIN W|01:350:307:01|4.45|4.55|4.55|4.52|4.28|4.07|4.10|4.03|4.14|4.14|3.85|2.94|3.58|3.97|3.93|4.28
AUYOUNG E|01:350:309:01|4.93|4.83|4.60|4.87|4.73|4.60|4.50|4.13|4.67|4.52|4.80|4.17|4.75|4.23|3.80|4.33
IAN M|01:350:311:01|3.24|2.62|3.05|2.86|3.19|2.86|3.05|3.52|2.67|2.71|3.29|3.11|3.27|3.95|4.00|4.29
IANNINI C|01:350:316:01|4.93|4.93|4.97|5.00|4.93|4.90|4.83|4.21|4.97|4.83|4.97|4.71|4.93|4.48|4.10|4.45
BARTELS|01:350:322:01|4.30|4.22|4.20|4.34|3.54|3.77|3.71|3.87|3.94|3.83|3.31|2.96|3.47|3.78|3.77|4.10
COIRO A|01:350:324:01|4.76|4.88|4.71|4.85|4.53|4.59|4.59|3.88|4.56|4.53|4.38|4.28|4.48|4.03|4.12|4.47
MCKEON M|01:350:352:01|4.24|3.73|2.80|3.61|3.13|2.63|2.78|2.95|2.90|2.85|3.44|3.04|3.17|4.00|3.68|4.50
QUALLS B|01:350:354:01|4.51|4.55|4.45|4.69|4.05|4.06|4.14|4.00|4.22|4.13|4.45|3.81|4.15|3.83|3.74|4.50
MCCLURE J|01:350:356:01|4.59|4.56|4.50|4.61|4.56|4.26|4.24|4.21|4.09|4.09|4.16|3.30|4.13|4.00|3.79|4.62
EVANS B|01:350:359:01|4.56|4.56|4.29|4.74|4.42|4.33|4.12|3.62|4.29|4.12|4.13|3.42|4.20|3.76|3.71|4.44
MATHES C|01:350:364:01|3.89|4.06|3.44|4.39|4.24|3.67|3.89|2.94|3.67|3.44|3.94|3.88|4.13|3.94|4.00|4.44
MATHES C|01:350:370:01|4.35|4.35|4.00|4.57|4.52|3.91|3.96|3.13|3.96|3.87|4.18|3.00|3.93|3.91|3.48|4.04
SHOCKLEY E|01:350:376:02|4.80|4.80|4.67|4.78|4.32|4.40|4.58|3.43|4.53|4.44|4.56|4.03|4.57|3.59|4.31|4.44
ROBOLIN S|01:350:376:04|4.80|4.80|4.67|4.78|4.32|4.40|4.58|3.43|4.53|4.44|4.56|4.03|4.57|3.59|4.31|4.44
FESTA L|01:350:382:01|4.62|4.70|4.74|4.78|4.44|4.36|4.41|3.15|4.44|4.37|4.89|4.21|4.61|3.96|4.15|4.30
NOVACICH S|01:350:389:01|4.94|5.00|4.76|4.94|4.76|4.82|4.76|3.41|4.88|4.76|4.94|4.12|4.94|4.35|4.24|4.47
GALPERIN W|01:350:392:01|4.60|4.48|4.36|4.12|4.35|4.28|4.44|3.80|4.52|4.46|4.31|3.38|4.10|4.40|4.20|4.52
VESTERMAN W|01:350:392:02|4.60|4.48|4.36|4.12|4.35|4.28|4.44|3.80|4.52|4.46|4.31|3.38|4.10|4.40|4.20|4.52
LEE R|01:350:393:04|4.95|4.74|4.88|4.74|4.60|4.77|4.83|3.83|4.74|4.60|4.91|3.79|4.61|3.88|4.07|4.28
KLEIN|01:350:411:01|4.20|3.87|4.13|4.40|4.27|3.93|4.07|3.40|3.87|3.80|3.63|3.00|3.00|3.20|3.93|4.13
LAKHI M|01:350:426:02|3.25|4.38|4.00|4.13|4.25|3.50|3.88|4.63|3.50|3.88|4.63|4.29|4.57|4.38|4.38|4.75
ELLIS K|01:350:435:01|4.33|4.17|4.08|4.42|4.25|4.00|3.92|3.17|4.00|4.08|4.42|4.78|4.64|4.17|4.00|4.42
FESTA L|01:350:435:02|4.33|4.17|4.08|4.42|4.25|4.00|3.92|3.17|4.00|4.08|4.42|4.78|4.64|4.17|4.00|4.42
BUCKLEY M|01:350:436:01|4.76|4.71|4.71|4.86|4.60|4.57|4.38|3.78|4.57|4.48|4.55|3.94|4.40|4.29|3.95|4.38
JAGER C|01:350:436:02|4.76|4.71|4.71|4.86|4.60|4.57|4.38|3.78|4.57|4.48|4.55|3.94|4.40|4.29|3.95|4.38
DEKOVEN M|01:350:437:01|4.81|4.89|4.74|4.96|4.88|4.89|4.59|4.30|4.73|4.74|4.78|4.13|4.56|4.74|4.26|4.37
MCCLURE J|01:350:437:02|4.81|4.89|4.74|4.96|4.88|4.89|4.59|4.30|4.73|4.74|4.78|4.13|4.56|4.74|4.26|4.37
