Hunt Stephanie|01:350:219:02|4.54|4.50|4.35|4.58|4.23|4.20|4.17|3.72|4.24|4.13|4.49|3.08|4.07|4.04|3.94|4.39
Hunt Stephanie|01:350:219:04|4.54|4.50|4.35|4.58|4.23|4.20|4.17|3.72|4.24|4.13|4.49|3.08|4.07|4.04|3.94|4.39
Shockley Evie|01:350:219:04|4.54|4.50|4.35|4.58|4.23|4.20|4.17|3.72|4.24|4.13|4.49|3.08|4.07|4.04|3.94|4.39
Iannini Chris|01:350:219:09|4.54|4.50|4.35|4.58|4.23|4.20|4.17|3.72|4.24|4.13|4.49|3.08|4.07|4.04|3.94|4.39
Keefe Anne|01:350:219:27|4.54|4.50|4.35|4.58|4.23|4.20|4.17|3.72|4.24|4.13|4.49|3.08|4.07|4.04|3.94|4.39
Mcclure John|01:350:220:04|4.32|4.19|4.13|4.37|4.10|3.88|3.73|3.99|3.94|3.80|4.14|3.14|3.73|4.08|4.06|4.28
Terrill Anne|01:350:220:07|4.32|4.19|4.13|4.37|4.10|3.88|3.73|3.99|3.94|3.80|4.14|3.14|3.73|4.08|4.06|4.28
Kurnick David|01:350:220:08|4.32|4.19|4.13|4.37|4.10|3.88|3.73|3.99|3.94|3.80|4.14|3.14|3.73|4.08|4.06|4.28
Terrill Anne|01:350:220:09|4.32|4.19|4.13|4.37|4.10|3.88|3.73|3.99|3.94|3.80|4.14|3.14|3.73|4.08|4.06|4.28
Ellis Katherine|01:350:220:12|4.32|4.19|4.13|4.37|4.10|3.88|3.73|3.99|3.94|3.80|4.14|3.14|3.73|4.08|4.06|4.28
Vesterman W.|01:350:220:20|4.32|4.19|4.13|4.37|4.10|3.88|3.73|3.99|3.94|3.80|4.14|3.14|3.73|4.08|4.06|4.28
Ibironke Bode|01:350:251:01|4.50|4.50|4.70|4.80|4.60|4.50|4.30|3.10|4.30|4.30|4.80|3.78|4.63|3.67|4.40|4.60
Galperin W.|01:350:308:01|4.50|4.58|4.67|4.50|4.33|4.17|4.33|3.75|4.17|3.92|4.00|2.29|3.33|3.67|4.00|4.25
Kurnick D.|01:350:309:01|4.41|4.44|4.48|4.63|4.31|4.15|4.31|4.30|4.48|4.26|4.56|3.92|4.42|4.11|3.96|4.44
Dekoven M.|01:350:311:01|4.23|4.29|4.15|4.40|4.43|4.13|3.98|4.02|4.19|4.13|3.86|2.89|3.89|3.92|3.90|4.27
Scanlon L.|01:350:321:01|3.70|4.23|3.83|4.45|4.26|3.81|3.70|3.47|3.83|3.83|3.84|2.94|3.94|3.76|3.57|4.58
Levao R.|01:350:323:01|4.64|4.44|4.54|4.72|4.42|4.33|4.46|4.07|4.45|4.44|4.07|3.18|4.15|4.24|3.79|4.31
Fulton T.|01:350:323:02|4.64|4.44|4.54|4.72|4.42|4.33|4.46|4.07|4.45|4.44|4.07|3.18|4.15|4.24|3.79|4.31
Miller J.|01:350:333:01|4.46|4.21|2.86|4.00|4.50|3.07|3.29|3.07|3.21|3.21|4.07|3.00|4.25|4.58|2.86|3.93
Buckley M.|01:350:344:01|4.43|4.83|4.48|4.85|4.50|4.28|4.38|3.50|4.48|4.30|4.55|4.19|4.30|4.00|4.00|4.45
Buckley M.|01:350:345:01|4.51|4.63|4.63|4.74|4.34|4.46|4.23|3.60|4.54|4.41|4.76|3.39|4.38|3.80|4.09|4.59
Ian M.|01:350:355:01|2.94|2.61|2.17|2.44|2.72|2.06|2.56|3.78|2.28|2.22|3.39|2.33|3.00|3.94|3.50|4.22
Vesterman W.|01:350:356:01|4.65|3.65|3.88|3.53|4.06|3.94|4.18|4.47|3.88|4.00|4.35|2.64|4.17|4.06|4.31|4.53
Mathes C.|01:350:369:01|4.27|4.26|4.19|4.55|4.32|4.10|4.13|3.67|4.00|3.79|3.90|3.19|3.88|3.94|3.71|4.32
Busia Abe|01:350:371:01|3.83|3.58|4.25|3.92|4.67|3.83|4.25|3.50|3.75|3.91|3.83|2.71|4.33|4.00|3.75|4.63
Robolin S.|01:350:372:01|5.00|4.73|5.00|4.73|4.60|4.64|4.64|3.73|4.55|4.64|4.91|4.50|4.60|3.82|4.27|4.60
Childs D|01:350:376:01|4.93|4.80|4.93|4.73|4.93|4.73|4.93|4.00|4.67|4.67|4.73|3.62|4.44|4.13|4.20|4.13
Lespinasse Patricia|01:350:376:02|4.93|4.80|4.93|4.73|4.93|4.73|4.93|4.00|4.67|4.67|4.73|3.62|4.44|4.13|4.20|4.13
Novacich S.|01:350:381:01|4.54|4.76|4.54|4.88|4.81|4.54|4.58|3.85|4.58|4.62|4.35|3.76|4.27|4.00|3.91|4.35
Ellis K.|01:350:382:01|4.13|3.93|4.20|4.20|4.27|3.80|3.93|3.60|4.07|3.93|4.13|3.50|4.20|4.60|4.07|4.27
Dekoven M.|01:350:384:01|4.71|4.79|4.61|4.82|4.68|4.36|4.15|4.43|4.29|4.25|4.45|3.17|4.33|4.45|4.00|4.32
Klein S.|01:350:389:01|4.73|4.73|4.67|4.93|4.60|4.60|4.53|3.67|4.67|4.47|4.73|3.69|4.20|4.00|4.07|4.20
Kramnick J.|01:350:391:01|3.92|4.23|3.85|4.31|4.23|3.92|4.08|3.85|4.15|4.15|4.38|3.00|4.00|4.31|3.92|4.31
Auyoung E.|01:350:392:02|4.67|4.70|4.33|4.77|4.70|4.30|4.20|3.67|4.13|4.13|4.67|3.83|4.32|4.30|3.97|4.33
Moran D.|01:350:393:03|4.84|4.72|4.69|4.78|4.39|4.72|4.63|4.16|4.66|4.63|4.66|3.28|3.83|3.94|4.22|4.44
Lee R.|01:350:393:05|4.84|4.72|4.69|4.78|4.39|4.72|4.63|4.16|4.66|4.63|4.66|3.28|3.83|3.94|4.22|4.44
Klein S.|01:350:412:01|4.89|4.89|4.89|4.89|4.78|4.89|4.78|4.00|4.89|4.88|4.89|4.13|4.86|3.67|4.33|4.22
Novacich S.|01:350:422:01|4.58|4.50|4.58|4.50|4.50|4.67|4.50|3.33|4.67|4.50|4.60|4.22|4.33|4.10|4.10|4.40
Fulton T.|01:350:434:02|5.00|5.00|5.00|5.00|5.00|4.86|5.00|4.57|4.86|5.00|5.00|4.57|4.71|4.86|5.00|4.86
Mckeon M.|01:350:435:01|4.56|4.33|4.22|4.67|3.50|4.00|4.22|3.67|3.78|3.78|4.44|3.67|3.67|4.11|4.22|4.67
Qualls B|01:350:436:01|4.68|4.68|4.68|4.73|4.81|4.63|4.61|4.20|4.71|4.54|4.63|4.14|4.69|4.44|4.10|4.49
Galperin W.|01:350:436:02|4.68|4.68|4.68|4.73|4.81|4.63|4.61|4.20|4.71|4.54|4.63|4.14|4.69|4.44|4.10|4.49
Jehlen M.|01:350:436:03|4.68|4.68|4.68|4.73|4.81|4.63|4.61|4.20|4.71|4.54|4.63|4.14|4.69|4.44|4.10|4.49
Gliserman M.|01:350:437:01|4.62|4.68|4.49|4.70|4.55|4.43|4.51|4.03|4.46|4.43|4.68|4.35|4.82|4.46|4.31|4.50
Jurecic A.|01:350:437:02|4.62|4.68|4.49|4.70|4.55|4.43|4.51|4.03|4.46|4.43|4.68|4.35|4.82|4.46|4.31|4.50
Ibironke B.|01:350:437:03|4.62|4.68|4.49|4.70|4.55|4.43|4.51|4.03|4.46|4.43|4.68|4.35|4.82|4.46|4.31|4.50
Barnett L.|01:350:437:04|4.62|4.68|4.49|4.70|4.55|4.43|4.51|4.03|4.46|4.43|4.31|4.50
Iannini C.|01:350:441:01|4.80|4.90|4.80|4.80|5.00|4.80|4.20|3.20|4.80|4.30|4.70|4.60|4.80|4.50|4.30|4.90
Evans B.|01:350:442:01|4.83|4.83|4.67|4.83|4.83|4.83|4.67|3.33|4.83|4.83|4.83|4.33|5.00|4.33|4.17|4.33
Mathes C.|01:350:446:02|4.71|4.43|4.71|4.71|4.71|4.29|4.57|3.71|4.43|4.43|4.57|4.00|4.50|4.17|4.43|4.43
